n,p,sum_error
20,0.0,-3590.5624901150113
30,0.0,-3669.976570821856
40,0.0,-3747.7571153032027
50,0.0,-3638.567909766438
60,0.0,-3865.1437476801925
70,0.0,-3966.8140739681908
80,0.0,-3928.0096487139344
90,0.0,-4290.081454504118
100,0.0,-4232.8408106664565
110,0.0,-3642.528756111717
120,0.0,-4096.917346030686
130,0.0,-4605.84820519717
140,0.0,-4752.082899145804
150,0.0,-4726.160064243268
160,0.0,-4594.834175162573
170,0.0,-4899.744464462564
180,0.0,-4536.816517839745
190,0.0,-4881.674755879205
200,0.0,-4881.101845158908
210,0.0,-5885.46570095896
220,0.0,-4454.268174854608
230,0.0,-3200.645423608317
240,0.0,-5350.67756020077
20,0.1,-3590.5624901150113
30,0.1,-3669.976570821856
40,0.1,-3747.7571153032027
50,0.1,-3638.567909766438
60,0.1,-3865.1437476801925
70,0.1,-3966.8140739681908
80,0.1,-3928.0096487139344
90,0.1,-4290.081454504118
100,0.1,-4232.8408106664565
110,0.1,-3642.528756111717
120,0.1,-4096.917346030686
130,0.1,-4605.84820519717
140,0.1,-4752.082899145804
150,0.1,-4726.160064243268
160,0.1,-4594.834175162573
170,0.1,-4899.744464462564
180,0.1,-4536.816517839745
190,0.1,-4881.674755879205
200,0.1,-4584.105648096156
210,0.1,-5102.466124204197
220,0.1,-4390.200956755286
230,0.1,-2907.5514414537756
240,0.1,-4664.964703553151
20,0.2,-3590.5624901150113
30,0.2,-3669.976570821856
40,0.2,-3747.7571153032027
50,0.2,-3638.567909766438
60,0.2,-3865.1437476801925
70,0.2,-3966.8140739681908
80,0.2,-3928.0096487139344
90,0.2,-4290.081454504118
100,0.2,-4015.484524392346
110,0.2,-3490.1155422625593
120,0.2,-4075.5936221091965
130,0.2,-4263.086367557579
140,0.2,-4366.241018155246
150,0.2,-4446.286113361605
160,0.2,-4006.070212661618
170,0.2,-4451.414112501619
180,0.2,-4042.989747112079
190,0.2,-4629.484447735854
200,0.2,-4162.1514390353195
210,0.2,-4568.7199285909255
220,0.2,-4367.754014898656
230,0.2,-3638.0079636464498
240,0.2,-4091.9516376120023
20,0.3,-3590.5624901150113
30,0.3,-3669.976570821856
40,0.3,-3747.7571153032027
50,0.3,-3638.567909766438
60,0.3,-3865.1437476801925
70,0.3,-3734.442046827314
80,0.3,-3572.393110983443
90,0.3,-3780.1748031395787
100,0.3,-3854.015297239874
110,0.3,-3574.3054048407475
120,0.3,-4088.350183662612
130,0.3,-4091.89245893893
140,0.3,-4083.3286012176827
150,0.3,-4483.538357897481
160,0.3,-3827.1307139046357
170,0.3,-4254.261733500039
180,0.3,-3859.843879873335
190,0.3,-4170.811239811189
200,0.3,-3948.8535951474414
210,0.3,-4103.366307910502
220,0.3,-4138.361370678496
230,0.3,-3762.582812573887
240,0.3,-4078.311289439162
20,0.4,-3590.5624901150113
30,0.4,-3669.976570821856
40,0.4,-3747.7571153032027
50,0.4,-3500.5481387925847
60,0.4,-3608.8777414408246
70,0.4,-3734.442046827314
80,0.4,-3568.94200007794
90,0.4,-3601.7178839489343
100,0.4,-3759.8294940581964
110,0.4,-3570.2731934916455
120,0.4,-4044.7584785337117
130,0.4,-3902.4294745388943
140,0.4,-4047.818323725606
150,0.4,-4377.125655533276
160,0.4,-4027.815990765659
170,0.4,-4266.3718014538235
180,0.4,-3647.7669992737815
190,0.4,-3888.092457980607
200,0.4,-4036.4508792920856
210,0.4,-4161.328594270522
220,0.4,-3954.262262093669
230,0.4,-3926.3999809017005
240,0.4,-3992.845210616233
20,0.5,-3590.5624901150113
30,0.5,-3669.976570821856
40,0.5,-3557.0384021322343
50,0.5,-3500.5481387925847
60,0.5,-3624.8686868046734
70,0.5,-3745.3714445840874
80,0.5,-3638.916045465826
90,0.5,-3518.4599637451493
100,0.5,-3700.4914618623425
110,0.5,-3503.766770512115
120,0.5,-3870.7233664132223
130,0.5,-3767.592912959201
140,0.5,-4003.7457981709213
150,0.5,-4299.072794548374
160,0.5,-3857.4720587702773
170,0.5,-4148.427724173587
180,0.5,-3816.260378653927
190,0.5,-4041.2813669703983
200,0.5,-4035.237027168026
210,0.5,-4047.5489271147826
220,0.5,-3686.260357930325
230,0.5,-3628.2952629379574
240,0.5,-3789.550602745928
20,0.6,-3590.5624901150113
30,0.6,-3669.976570821856
40,0.6,-3557.0384021322343
50,0.6,-3385.3983344098606
60,0.6,-3624.8686868046734
70,0.6,-3504.5657041017407
80,0.6,-3638.916045465826
90,0.6,-3354.89499371375
100,0.6,-3627.862782385426
110,0.6,-3477.322320507305
120,0.6,-3787.3525767040705
130,0.6,-3749.9726992696337
140,0.6,-3969.1340516436526
150,0.6,-4059.235015501034
160,0.6,-3933.7185246664794
170,0.6,-3911.6226309329545
180,0.6,-3853.000823294554
190,0.6,-3999.1385653927946
200,0.6,-3939.338136509776
210,0.6,-3989.0460357694456
220,0.6,-3648.6821537370142
230,0.6,-3632.6025996443236
240,0.6,-3895.7086240546387
20,0.7,-3590.5624901150113
30,0.7,-3497.692307772749
40,0.7,-3557.0384021322343
50,0.7,-3385.3983344098606
60,0.7,-3649.389898474577
70,0.7,-3504.5657041017407
80,0.7,-3571.6083564489986
90,0.7,-3408.7696184903775
100,0.7,-3555.8671404000293
110,0.7,-3526.927403958122
120,0.7,-3901.714880281959
130,0.7,-3588.807154944918
140,0.7,-3824.099192352303
150,0.7,-4012.7783849725524
160,0.7,-3702.255435158381
170,0.7,-3918.6307113891667
180,0.7,-3649.3734934729696
190,0.7,-3877.4999595293443
200,0.7,-3621.7023561095707
210,0.7,-3794.908253930082
220,0.7,-3756.554430890047
230,0.7,-3528.6413337563326
240,0.7,-3806.8473560004013
20,0.8,-3590.5624901150113
30,0.8,-3497.692307772749
40,0.8,-3563.856779250004
50,0.8,-3391.221301470546
60,0.8,-3649.389898474577
70,0.8,-3368.2827571558346
80,0.8,-3575.0617986291154
90,0.8,-3497.0483342557563
100,0.8,-3469.7541313043757
110,0.8,-3529.1057046751803
120,0.8,-3767.8059341705475
130,0.8,-3557.6195533424875
140,0.8,-3548.9535116681236
150,0.8,-3790.1120757820568
160,0.8,-3657.7717513435146
170,0.8,-3635.2448279043047
180,0.8,-3474.6159627932693
190,0.8,-3681.6635703182305
200,0.8,-3643.7706507744456
210,0.8,-3728.9377912812865
220,0.8,-3883.358465627374
230,0.8,-3401.8419295884814
240,0.8,-3549.204701551097
20,0.9,-3590.5624901150113
30,0.9,-3497.692307772749
40,0.9,-3563.856779250004
50,0.9,-3391.221301470546
60,0.9,-3581.160486658396
70,0.9,-3444.055108753647
80,0.9,-3541.2204430567826
90,0.9,-3515.00470238545
100,0.9,-3502.0017185112983
110,0.9,-3515.497774737047
120,0.9,-3632.04109273925
130,0.9,-3659.299309049551
140,0.9,-3449.1867722616407
150,0.9,-3588.877377944227
160,0.9,-3519.1114691339835
170,0.9,-3509.239355925609
180,0.9,-3448.8167151678076
190,0.9,-3568.2132155630366
200,0.9,-3506.0907249218444
210,0.9,-3654.08631587253
220,0.9,-3518.005948804906
230,0.9,-3529.7865017817703
240,0.9,-3443.845622208013
