p,ic,sum_error
0.0,0.9,-10150.315265652252
0.0,0.905,-10034.603888919548
0.0,0.91,-9917.25864160903
0.0,0.915,-9798.040479463272
0.0,0.92,-9676.681092732177
0.0,0.925,-9552.849480038636
0.0,0.93,-9426.15895466484
0.0,0.935,-9296.176233181075
0.0,0.94,-9162.349434804091
0.0,0.945,-9023.993822473954
0.0,0.95,-8880.259648694966
0.0,0.955,-8730.053522651966
0.0,0.96,-8571.949379767904
0.0,0.965,-8403.919068891566
0.0,0.97,-8223.217141191855
0.0,0.975,-8025.639014734619
0.0,0.98,-7804.572419882997
0.0,0.985,-7548.126838400253
0.0,0.99,-7231.126945897215
0.0,0.995,-6781.132138833394
0.1,0.9,-11922.482302288437
0.1,0.905,-11787.955422816143
0.1,0.91,-11651.670606210817
0.1,0.915,-11513.349695911178
0.1,0.92,-11372.699750822743
0.1,0.925,-11229.363957862135
0.1,0.93,-11082.922015492835
0.1,0.935,-10932.864096854692
0.1,0.94,-10778.573765066745
0.1,0.945,-10619.297338555363
0.1,0.95,-10454.06344478557
0.1,0.955,-10281.695171463452
0.1,0.96,-10100.556809156351
0.1,0.965,-9908.493486146568
0.1,0.97,-9702.299401563416
0.1,0.975,-9477.44602771595
0.1,0.98,-9226.608645183016
0.1,0.985,-8936.619586585852
0.1,0.99,-8579.868017713605
0.1,0.995,-8076.361890402919
0.2,0.9,-12931.084618944813
0.2,0.905,-12785.985343864424
0.2,0.91,-12639.066810701232
0.2,0.915,-12490.050073534925
0.2,0.92,-12338.581274695644
0.2,0.925,-12184.26435325305
0.2,0.93,-12026.710761282242
0.2,0.935,-11865.394901158228
0.2,0.94,-11699.66259538772
0.2,0.945,-11528.719111877328
0.2,0.95,-11351.571443396699
0.2,0.955,-11166.952319294793
0.2,0.96,-10973.14793194621
0.2,0.965,-10767.901433071922
0.2,0.97,-10548.00920963474
0.2,0.975,-10308.657902427867
0.2,0.98,-10042.13849384371
0.2,0.985,-9734.792499001464
0.2,0.99,-9357.974604343632
0.2,0.995,-8828.642654822665
0.3,0.9,-9821.130911615322
0.3,0.905,-9725.662145688766
0.3,0.91,-9629.013324916887
0.3,0.915,-9531.003299745822
0.3,0.92,-9431.42693092417
0.3,0.925,-9330.037194382765
0.3,0.93,-9226.539576501566
0.3,0.935,-9120.587837762203
0.3,0.94,-9011.762582849811
0.3,0.945,-8899.54767069596
0.3,0.95,-8783.302250624603
0.3,0.955,-8662.201486739415
0.3,0.96,-8535.146017441282
0.3,0.965,-8400.65600226089
0.3,0.97,-8256.627830274614
0.3,0.975,-8099.938890114669
0.3,0.98,-7925.5809331213
0.3,0.985,-7724.666196925123
0.3,0.99,-7478.578338093088
0.3,0.995,-7133.353486412309
0.4,0.9,-13376.322994445072
0.4,0.905,-13226.79265593502
0.4,0.91,-13075.419774567437
0.4,0.915,-12921.936564044652
0.4,0.92,-12766.00696081829
0.4,0.925,-12607.254268490415
0.4,0.93,-12445.219651601767
0.4,0.935,-12279.371304662245
0.4,0.94,-12109.050028024249
0.4,0.945,-11933.448655362155
0.4,0.95,-11751.561926595008
0.4,0.955,-11562.10593634664
0.4,0.96,-11363.370626496197
0.4,0.965,-11153.051525878529
0.4,0.97,-10927.884570070317
0.4,0.975,-10682.989759125276
0.4,0.98,-10410.574890657137
0.4,0.985,-10096.800878159484
0.4,0.99,-9712.698396077294
0.4,0.995,-9174.757518775259
0.5,0.9,-12841.78445135647
0.5,0.905,-12701.27558750123
0.5,0.91,-12559.050611840026
0.5,0.915,-12414.829772385976
0.5,0.92,-12268.325995293515
0.5,0.925,-12119.173670337404
0.5,0.93,-11966.947028354569
0.5,0.935,-11811.1399367248
0.5,0.94,-11651.139741303876
0.5,0.945,-11486.195042817584
0.5,0.95,-11315.359545870915
0.5,0.955,-11137.426346893457
0.5,0.96,-10950.811764517044
0.5,0.965,-10753.34253728425
0.5,0.97,-10541.969601000656
0.5,0.975,-10312.141747483685
0.5,0.98,-10056.545246356929
0.5,0.985,-9762.217977756456
0.5,0.99,-9402.042075629608
0.5,0.995,-8897.922119311652
0.6,0.9,-14484.754119139516
0.6,0.905,-14320.0816205306
0.6,0.91,-14153.403940701677
0.6,0.915,-13984.408972899546
0.6,0.92,-13812.736294821822
0.6,0.925,-13637.965520139947
0.6,0.93,-13459.598792086363
0.6,0.935,-13277.03354449951
0.6,0.94,-13089.567947800799
0.6,0.945,-12896.327437292452
0.6,0.95,-12696.196553081729
0.6,0.955,-12487.759359483769
0.6,0.96,-12269.15327485146
0.6,0.965,-12037.848693473372
0.6,0.97,-11790.26828686185
0.6,0.975,-11521.088712423503
0.6,0.98,-11221.777636460949
0.6,0.985,-10877.186419821883
0.6,0.99,-10455.607405400657
0.6,0.995,-9865.633628087342
0.7,0.9,-11145.588414568243
0.7,0.905,-11030.88043638894
0.7,0.91,-10914.778536918335
0.7,0.915,-10797.065563439966
0.7,0.92,-10677.490755519048
0.7,0.925,-10555.752850800865
0.7,0.93,-10431.512057758842
0.7,0.935,-10304.360556197096
0.7,0.94,-10173.799320596994
0.7,0.945,-10039.214618361255
0.7,0.95,-9899.837027598573
0.7,0.955,-9754.681873840738
0.7,0.96,-9602.45358094795
0.7,0.965,-9441.392688880553
0.7,0.97,-9269.011303028019
0.7,0.975,-9081.601914729928
0.7,0.98,-8873.244817972816
0.7,0.985,-8633.400137564551
0.7,0.99,-8340.023157310492
0.7,0.995,-7929.572933861236
0.8,0.9,-11737.179276165481
0.8,0.905,-11613.032446229015
0.8,0.91,-11487.37929103537
0.8,0.915,-11359.984995895931
0.8,0.92,-11230.578411821765
0.8,0.925,-11098.843297050958
0.8,0.93,-10964.406719890765
0.8,0.935,-10826.823423685819
0.8,0.94,-10685.554311753742
0.8,0.945,-10539.936136467868
0.8,0.95,-10389.137615194768
0.8,0.955,-10232.09382432389
0.8,0.96,-10067.404293354282
0.8,0.965,-9893.16717911146
0.8,0.97,-9706.693365145999
0.8,0.975,-9503.975665784285
0.8,0.98,-9278.601247034756
0.8,0.985,-9019.190928899296
0.8,0.99,-8701.927413225616
0.8,0.995,-8258.170377515893
0.9,0.9,-10261.257659393488
0.9,0.905,-10158.923673970323
0.9,0.91,-10055.349545060637
0.9,0.915,-9950.341849787108
0.9,0.92,-9843.677240325538
0.9,0.925,-9735.095230813457
0.9,0.93,-9624.28864658123
0.9,0.935,-9510.89074820265
0.9,0.94,-9394.45751344128
0.9,0.945,-9274.442676082748
0.9,0.95,-9150.16158790406
0.9,0.955,-9020.73719402876
0.9,0.96,-8885.016118250522
0.9,0.965,-8741.43211690782
0.9,0.97,-8587.770666332704
0.9,0.975,-8420.731916626966
0.9,0.98,-8235.035238088903
0.9,0.985,-8021.310986771947
0.9,0.99,-7759.94936234507
0.9,0.995,-7394.442161778438
